,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak- rpm,city-mpg,highway-mpg,price,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-type-std,turbo
17,0,81.0,chevrolet,four,sedan,fwd,front,94.5,0.264179104,0.282051282,0.35,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575,Low,0,1,1,0
18,1,118.0,dodge,two,hatchback,fwd,front,93.7,0.241791045,0.299145299,0.25,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,37,41,5572,Low,0,1,1,0
19,1,118.0,dodge,two,hatchback,fwd,front,93.7,0.241791045,0.299145299,0.25,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6377,Low,0,1,1,0
20,1,118.0,dodge,two,hatchback,fwd,front,93.7,0.241791045,0.299145299,0.25,2128,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,7957,Low,0,1,0,1
21,1,148.0,dodge,four,hatchback,fwd,front,93.7,0.241791045,0.299145299,0.233333333,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229,Low,0,1,1,0
22,1,148.0,dodge,four,sedan,fwd,front,93.7,0.241791045,0.299145299,0.233333333,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692,Low,0,1,1,0
23,1,148.0,dodge,four,sedan,fwd,front,93.7,0.241791045,0.299145299,0.233333333,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609,Low,0,1,1,0
24,1,148.0,dodge,four,sedan,fwd,front,93.7,0.241791045,0.299145299,0.233333333,2191,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,8558,Low,0,1,0,1
25,-1,110.0,dodge,four,wagon,fwd,front,103.3,0.5,0.367521368,1.0,2535,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,24,30,8921,Low,0,1,1,0
26,3,145.0,dodge,two,hatchback,fwd,front,95.9,0.479104478,0.512820513,0.2,2811,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,19,24,12964,Medium,0,1,0,1
27,2,137.0,honda,two,hatchback,fwd,front,86.6,0.052238806,0.307692308,0.25,1713,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,49,54,6479,Low,0,1,1,0
28,2,137.0,honda,two,hatchback,fwd,front,86.6,0.052238806,0.307692308,0.25,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,31,38,6855,Low,0,1,1,0
29,1,101.0,honda,two,hatchback,fwd,front,93.7,0.132835821,0.316239316,0.4,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,38,42,5399,Low,0,1,1,0
30,1,101.0,honda,two,hatchback,fwd,front,93.7,0.132835821,0.316239316,0.4,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,6529,Low,0,1,1,0
31,1,101.0,honda,two,hatchback,fwd,front,93.7,0.132835821,0.316239316,0.4,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7129,Low,0,1,1,0
32,0,110.0,honda,four,sedan,fwd,front,96.5,0.332835821,0.316239316,0.558333333,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7295,Low,0,1,1,0
33,0,78.0,honda,four,wagon,fwd,front,96.5,0.23880597,0.307692308,0.875,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,30,34,7295,Low,0,1,1,0
34,0,106.0,honda,two,hatchback,fwd,front,96.5,0.394029851,0.418803419,0.458333333,2236,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,7895,Low,0,1,1,0
35,0,106.0,honda,two,hatchback,fwd,front,96.5,0.394029851,0.418803419,0.458333333,2289,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,9095,Low,0,1,1,0
36,0,85.0,honda,four,sedan,fwd,front,96.5,0.511940299,0.418803419,0.525,2304,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,8845,Low,0,1,1,0
37,0,85.0,honda,four,sedan,fwd,front,96.5,0.511940299,0.188034188,0.525,2372,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,10295,Low,0,1,1,0
38,0,85.0,honda,four,sedan,fwd,front,96.5,0.511940299,0.418803419,0.525,2465,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,24,28,12945,Low,0,1,1,0
39,1,107.0,honda,two,sedan,fwd,front,96.5,0.417910448,0.487179487,0.266666667,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,25,31,10345,Low,0,1,1,0
40,0,121.7423313,isuzu,four,sedan,rwd,front,94.3,0.441791045,0.128205128,0.475,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,24,29,6785,Low,0,1,1,0
41,2,121.7423313,isuzu,two,hatchback,rwd,front,96.0,0.470149254,0.418803419,0.3,2734,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,24,29,11048,Low,0,1,1,0
42,0,145.0,jaguar,four,sedan,rwd,front,113.0,0.873134328,0.794871795,0.416666667,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,32250,Medium,0,1,1,0
43,0,121.7423313,jaguar,four,sedan,rwd,front,113.0,0.873134328,0.794871795,0.416666667,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,35550,Medium,0,1,1,0
44,0,121.7423313,jaguar,two,sedan,rwd,front,102.0,0.755223881,0.88034188,0.0,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,13,17,36000,Hign,0,1,1,0
45,1,104.0,mazda,two,hatchback,fwd,front,93.1,0.268656716,0.333333333,0.525,1890,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,30,31,5195,Low,0,1,1,0
46,1,104.0,mazda,two,hatchback,fwd,front,93.1,0.268656716,0.333333333,0.525,1900,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6095,Low,0,1,1,0
47,1,104.0,mazda,two,hatchback,fwd,front,93.1,0.268656716,0.333333333,0.525,1905,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6795,Low,0,1,1,0
48,1,113.0,mazda,four,sedan,fwd,front,93.1,0.38358209,0.333333333,0.525,1945,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6695,Low,0,1,1,0
49,1,113.0,mazda,four,sedan,fwd,front,93.1,0.38358209,0.333333333,0.525,1950,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,31,38,7395,Low,0,1,1,0
50,3,150.0,mazda,two,hatchback,rwd,front,95.3,0.41641791,0.461538462,0.15,2380,rotor,two,70,4bbl,3.333718593,3.25361809,9.4,101.0,6000.0,17,23,10945,Low,0,1,1,0
51,3,150.0,mazda,two,hatchback,rwd,front,95.3,0.41641791,0.461538462,0.15,2380,rotor,two,70,4bbl,3.333718593,3.25361809,9.4,101.0,6000.0,17,23,11845,Low,0,1,1,0
52,3,150.0,mazda,two,hatchback,rwd,front,95.3,0.41641791,0.461538462,0.15,2385,rotor,two,70,4bbl,3.333718593,3.25361809,9.4,101.0,6000.0,17,23,13645,Low,0,1,1,0
53,3,150.0,mazda,two,hatchback,rwd,front,95.3,0.41641791,0.461538462,0.15,2500,rotor,two,80,mpfi,3.333718593,3.25361809,9.4,135.0,6000.0,16,23,15645,Medium,0,1,1,0
54,1,129.0,mazda,two,hatchback,fwd,front,98.8,0.547761194,0.52991453,0.491666667,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8845,Low,0,1,1,0
55,0,115.0,mazda,four,sedan,fwd,front,98.8,0.547761194,0.52991453,0.641666667,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8495,Low,0,1,1,0
56,1,129.0,mazda,two,hatchback,fwd,front,98.8,0.547761194,0.52991453,0.491666667,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10595,Low,0,1,1,0
57,0,115.0,mazda,four,sedan,fwd,front,98.8,0.547761194,0.52991453,0.641666667,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10245,Low,0,1,1,0
58,0,121.7423313,mazda,four,sedan,fwd,front,98.8,0.547761194,0.52991453,0.641666667,2443,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,36,42,10795,Low,1,0,1,0
59,0,115.0,mazda,four,hatchback,fwd,front,98.8,0.547761194,0.52991453,0.641666667,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,11245,Low,0,1,1,0
60,0,118.0,mazda,four,sedan,rwd,front,104.9,0.505970149,0.495726496,0.55,2670,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,19,27,18280,Medium,0,1,1,0
61,0,121.7423313,mazda,four,sedan,rwd,front,104.9,0.505970149,0.495726496,0.55,2700,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,31,39,18344,Low,1,0,1,0
62,-1,93.0,mercedes-benz,four,sedan,rwd,front,110.0,0.743283582,0.854700855,0.725,3515,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,25552,Medium,1,0,0,1
63,-1,93.0,mercedes-benz,four,wagon,rwd,front,110.0,0.743283582,0.854700855,0.908333333,3750,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28248,Medium,1,0,0,1
64,0,93.0,mercedes-benz,two,hardtop,rwd,front,106.7,0.692537313,0.854700855,0.591666667,3495,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28176,Medium,1,0,0,1
65,-1,93.0,mercedes-benz,four,sedan,rwd,front,115.6,0.917910448,0.974358974,0.708333333,3770,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,31600,Medium,1,0,0,1
66,-1,121.7423313,mercedes-benz,four,sedan,rwd,front,115.6,0.917910448,0.974358974,0.725,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,34184,Medium,0,1,1,0
67,3,142.0,mercedes-benz,two,convertible,rwd,front,96.6,0.585074627,0.871794872,0.25,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,35056,Medium,0,1,1,0
68,0,121.7423313,mercedes-benz,four,sedan,rwd,front,120.9,1.0,0.974358974,0.741666667,3900,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,40960,Medium,0,1,1,0
69,1,121.7423313,mercedes-benz,two,hardtop,rwd,front,112.0,0.867164179,1.0,0.633333333,3715,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,45400,Medium,0,1,1,0
70,1,121.7423313,mercury,two,hatchback,rwd,front,102.7,0.556716418,0.658119658,0.583333333,2910,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,19,24,16503,Medium,0,1,0,1
71,2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.241791045,0.35042735,0.25,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5389,Low,0,1,1,0
72,2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.241791045,0.35042735,0.25,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6189,Low,0,1,1,0
73,2,161.0,mitsubishi,two,hatchback,fwd,front,93.7,0.241791045,0.35042735,0.25,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6669,Low,0,1,1,0
74,1,161.0,mitsubishi,two,hatchback,fwd,front,93.0,0.241791045,0.299145299,0.25,2145,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689,Low,0,1,0,1
75,3,153.0,mitsubishi,two,hatchback,fwd,front,96.3,0.476119403,0.435897436,0.133333333,2370,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959,Low,0,1,0,1
76,3,153.0,mitsubishi,two,hatchback,fwd,front,96.3,0.476119403,0.435897436,0.133333333,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8499,Low,0,1,1,0
77,3,121.7423313,mitsubishi,two,hatchback,fwd,front,95.9,0.479104478,0.512820513,0.2,2833,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,19,24,12629,Medium,0,1,0,1
78,3,121.7423313,mitsubishi,two,hatchback,fwd,front,95.9,0.479104478,0.512820513,0.2,2921,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14869,Medium,0,1,0,1
79,3,121.7423313,mitsubishi,two,hatchback,fwd,front,95.9,0.479104478,0.512820513,0.2,2926,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14489,Medium,0,1,0,1
80,1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.467164179,0.435897436,0.316666667,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,6989,Low,0,1,1,0
81,1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.467164179,0.435897436,0.316666667,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8189,Low,0,1,1,0
82,1,125.0,mitsubishi,four,sedan,fwd,front,96.3,0.467164179,0.435897436,0.316666667,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279,Low,0,1,0,1
83,-1,137.0,mitsubishi,four,sedan,fwd,front,96.3,0.467164179,0.435897436,0.316666667,2403,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279,Low,0,1,1,0
84,1,128.0,nissan,two,sedan,fwd,front,94.5,0.36119403,0.299145299,0.558333333,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,5499,Low,0,1,1,0
85,1,128.0,nissan,two,sedan,fwd,front,94.5,0.36119403,0.299145299,0.558333333,2017,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,45,50,7099,Low,1,0,1,0
86,1,128.0,nissan,two,sedan,fwd,front,94.5,0.36119403,0.299145299,0.558333333,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6649,Low,0,1,1,0
87,1,122.0,nissan,four,sedan,fwd,front,94.5,0.36119403,0.299145299,0.558333333,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849,Low,0,1,1,0
88,1,103.0,nissan,four,wagon,fwd,front,94.5,0.434328358,0.299145299,0.475,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349,Low,0,1,1,0
89,1,128.0,nissan,two,sedan,fwd,front,94.5,0.36119403,0.299145299,0.558333333,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7299,Low,0,1,1,0
90,1,128.0,nissan,two,hatchback,fwd,front,94.5,0.365671642,0.299145299,0.458333333,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7799,Low,0,1,1,0
91,1,122.0,nissan,four,sedan,fwd,front,94.5,0.36119403,0.299145299,0.558333333,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7499,Low,0,1,1,0
92,1,103.0,nissan,four,wagon,fwd,front,94.5,0.434328358,0.299145299,0.475,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7999,Low,0,1,1,0
93,2,168.0,nissan,two,hardtop,fwd,front,95.1,0.317910448,0.299145299,0.458333333,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,8249,Low,0,1,1,0
94,0,106.0,nissan,four,hatchback,fwd,front,97.2,0.482089552,0.418803419,0.575,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,8949,Low,0,1,1,0
95,0,106.0,nissan,four,sedan,fwd,front,97.2,0.482089552,0.418803419,0.575,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,9549,Low,0,1,1,0
96,0,128.0,nissan,four,sedan,fwd,front,100.4,0.605970149,0.52991453,0.608333333,3095,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,13499,Medium,0,1,1,0
97,0,108.0,nissan,four,wagon,fwd,front,100.4,0.649253731,0.52991453,0.691666667,3296,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,14399,Medium,0,1,1,0
98,0,108.0,nissan,four,sedan,fwd,front,100.4,0.649253731,0.52991453,0.608333333,3060,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,19,25,13499,Medium,0,1,1,0
99,3,194.0,nissan,two,hatchback,rwd,front,91.3,0.441791045,0.64957265,0.158333333,3071,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,19,25,17199,Medium,0,1,1,0
100,3,194.0,nissan,two,hatchback,rwd,front,91.3,0.441791045,0.64957265,0.158333333,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200.0,5200.0,17,23,19699,Hign,0,1,0,1
101,1,231.0,nissan,two,hatchback,rwd,front,99.2,0.558208955,0.64957265,0.158333333,3139,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,19,25,18399,Medium,0,1,1,0
102,0,161.0,peugot,four,sedan,rwd,front,107.9,0.680597015,0.692307692,0.741666667,3020,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,11900,Low,0,1,1,0
103,0,161.0,peugot,four,sedan,rwd,front,107.9,0.680597015,0.692307692,0.741666667,3197,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33,13200,Low,1,0,0,1
104,0,121.7423313,peugot,four,wagon,rwd,front,114.2,0.862686567,0.692307692,0.908333333,3230,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,12440,Low,0,1,1,0
105,0,121.7423313,peugot,four,wagon,rwd,front,114.2,0.862686567,0.692307692,0.908333333,3430,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,25,25,13860,Low,1,0,0,1
106,0,161.0,peugot,four,sedan,rwd,front,107.9,0.680597015,0.692307692,0.741666667,3075,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,19,24,15580,Low,0,1,1,0
107,0,161.0,peugot,four,sedan,rwd,front,107.9,0.680597015,0.692307692,0.741666667,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33,16900,Low,1,0,0,1
108,0,121.7423313,peugot,four,wagon,rwd,front,114.2,0.862686567,0.692307692,0.741666667,3285,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,19,24,16695,Low,0,1,1,0
109,0,121.7423313,peugot,four,wagon,rwd,front,114.2,0.862686567,0.692307692,0.908333333,3485,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,25,25,17075,Low,1,0,0,1
110,0,161.0,peugot,four,sedan,rwd,front,107.9,0.680597015,0.692307692,0.741666667,3075,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,16630,Low,0,1,1,0
111,0,161.0,peugot,four,sedan,rwd,front,107.9,0.680597015,0.692307692,0.741666667,3252,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33,17950,Low,1,0,0,1
112,0,161.0,peugot,four,sedan,rwd,front,108.0,0.680597015,0.683760684,0.683333333,3130,l,four,134,mpfi,3.61,3.21,7.0,142.0,5600.0,18,24,18150,Medium,0,1,0,1
113,1,119.0,plymouth,two,hatchback,fwd,front,93.7,0.241791045,0.299145299,0.25,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5572,Low,0,1,1,0
114,1,119.0,plymouth,two,hatchback,fwd,front,93.7,0.241791045,0.299145299,0.25,2128,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7957,Low,0,1,0,1
115,1,154.0,plymouth,four,hatchback,fwd,front,93.7,0.241791045,0.299145299,0.233333333,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229,Low,0,1,1,0
116,1,154.0,plymouth,four,sedan,fwd,front,93.7,0.391044776,0.299145299,0.25,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692,Low,0,1,1,0
117,1,154.0,plymouth,four,sedan,fwd,front,93.7,0.391044776,0.299145299,0.25,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609,Low,0,1,1,0
118,-1,74.0,plymouth,four,wagon,fwd,front,103.3,0.5,0.367521368,1.0,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,24,30,8921,Low,0,1,1,0
119,3,121.7423313,plymouth,two,hatchback,rwd,front,95.9,0.479104478,0.512820513,0.2,2818,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,12764,Medium,0,1,0,1
120,3,186.0,porsche,two,hatchback,rwd,front,94.5,0.414925373,0.683760684,0.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143.0,5500.0,19,27,22018,Medium,0,1,1,0
121,3,121.7423313,porsche,two,hardtop,rwd,rear,89.5,0.414925373,0.401709402,0.316666667,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,32528,Hign,0,1,1,0
122,3,121.7423313,porsche,two,hardtop,rwd,rear,89.5,0.414925373,0.401709402,0.316666667,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,34028,Hign,0,1,1,0
123,3,121.7423313,porsche,two,convertible,rwd,rear,89.5,0.414925373,0.401709402,0.316666667,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,37028,Hign,0,1,1,0
124,0,121.7423313,renault,four,wagon,fwd,front,96.1,0.602985075,0.52991453,0.616666667,2579,ohc,four,132,mpfi,3.46,3.9,8.7,104.0199005,5124.129353,23,31,9295,Low,0,1,1,0
125,2,121.7423313,renault,two,hatchback,fwd,front,96.1,0.532835821,0.538461538,0.225,2460,ohc,four,132,mpfi,3.46,3.9,8.7,104.0199005,5124.129353,23,31,9895,Low,0,1,1,0
126,3,150.0,saab,two,hatchback,fwd,front,99.1,0.679104478,0.52991453,0.691666667,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110.0,5250.0,21,28,11850,Low,0,1,1,0
127,2,104.0,saab,four,sedan,fwd,front,99.1,0.679104478,0.52991453,0.691666667,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,21,28,12170,Low,0,1,1,0
128,3,150.0,saab,two,hatchback,fwd,front,99.1,0.679104478,0.52991453,0.691666667,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110.0,5250.0,21,28,15040,Low,0,1,1,0
129,2,104.0,saab,four,sedan,fwd,front,99.1,0.679104478,0.52991453,0.691666667,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,21,28,15510,Low,0,1,1,0
130,3,150.0,saab,two,hatchback,fwd,front,99.1,0.679104478,0.52991453,0.691666667,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,19,26,18150,Medium,0,1,0,1
131,2,104.0,saab,four,sedan,fwd,front,99.1,0.679104478,0.52991453,0.691666667,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,19,26,18620,Medium,0,1,0,1
132,2,83.0,subaru,two,hatchback,fwd,front,93.7,0.235820896,0.264957265,0.491666667,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69.0,4900.0,31,36,5118,Low,0,1,1,0
133,2,83.0,subaru,two,hatchback,fwd,front,93.7,0.250746269,0.282051282,0.491666667,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,26,31,7053,Low,0,1,1,0
